,released,year,age,sex,employed,citizen,checks
57,Yes,2001,42,Male,Yes,Yes,3
58,Yes,2001,19,Male,No,Yes,3
59,Yes,1998,25,Male,Yes,Yes,0
60,Yes,2000,17,Male,Yes,Yes,1
61,Yes,2002,21,Male,Yes,Yes,1
62,Yes,1997,53,Male,Yes,No,3
63,Yes,2000,19,Male,Yes,Yes,4
64,No,1999,40,Male,Yes,No,2
65,Yes,2000,30,Male,No,No,3
66,Yes,1998,21,Male,Yes,Yes,0
67,No,1998,17,Male,Yes,Yes,1
68,Yes,1999,19,Male,Yes,Yes,0
69,No,2000,19,Male,Yes,Yes,4
70,Yes,1997,30,Female,Yes,Yes,2
71,Yes,1998,15,Female,Yes,Yes,0
72,Yes,2000,16,Female,Yes,Yes,1
73,Yes,2000,17,Male,Yes,Yes,1
74,Yes,1999,23,Female,Yes,Yes,0
75,No,2000,18,Male,No,Yes,3
76,Yes,2001,16,Female,Yes,Yes,0
77,No,2000,22,Male,No,Yes,5
78,Yes,1998,40,Male,No,Yes,3
79,No,1997,44,Male,Yes,No,0
80,Yes,1998,16,Male,Yes,Yes,0
81,Yes,1998,14,Male,Yes,Yes,0
82,Yes,1999,18,Male,Yes,Yes,4
83,Yes,1999,30,Male,Yes,Yes,2
84,No,1999,22,Male,No,Yes,5
85,Yes,2001,29,Male,No,No,2
86,No,1998,15,Male,Yes,Yes,0
87,Yes,2001,22,Male,Yes,Yes,3
88,Yes,2001,33,Male,Yes,Yes,2
89,Yes,2001,22,Male,Yes,Yes,0
90,Yes,2001,22,Male,Yes,Yes,4
91,Yes,2001,44,Male,Yes,Yes,2
92,Yes,1999,19,Male,Yes,Yes,4
93,Yes,1998,24,Male,No,Yes,3
94,Yes,2001,15,Male,Yes,Yes,0
95,No,1997,17,Male,No,No,4
96,Yes,1999,22,Male,Yes,Yes,0
97,Yes,2001,48,Male,Yes,Yes,3
98,Yes,2001,15,Male,Yes,Yes,0
99,No,2001,20,Male,Yes,Yes,0
100,Yes,1997,21,Male,Yes,Yes,3
101,Yes,1999,33,Male,Yes,Yes,0
102,Yes,1999,22,Male,Yes,Yes,2
103,No,2001,25,Male,Yes,No,2
104,Yes,2001,21,Male,Yes,Yes,0
105,Yes,2001,22,Male,Yes,Yes,0
106,Yes,2001,27,Male,Yes,Yes,0
107,Yes,2002,17,Male,Yes,Yes,1
108,Yes,2001,17,Male,Yes,Yes,2
109,Yes,2001,18,Male,Yes,Yes,3
110,No,1999,17,Male,Yes,Yes,2
111,No,2000,20,Male,No,Yes,4
112,Yes,1999,21,Male,Yes,Yes,0
113,Yes,1997,17,Male,Yes,Yes,0
114,Yes,2000,30,Male,Yes,Yes,1
115,Yes,2001,36,Female,No,Yes,3
116,Yes,1999,16,Male,Yes,Yes,2
117,No,1997,19,Male,Yes,No,0
118,Yes,2000,19,Male,Yes,Yes,0
119,Yes,2001,40,Male,Yes,Yes,3
120,Yes,2000,23,Male,Yes,Yes,0
121,Yes,2000,19,Male,Yes,Yes,3
122,Yes,1998,21,Male,Yes,Yes,0
123,Yes,1998,38,Male,Yes,Yes,3
124,Yes,2000,25,Male,Yes,Yes,0
125,Yes,1999,19,Male,Yes,Yes,4
126,Yes,2000,17,Female,Yes,Yes,0
127,Yes,1999,24,Male,Yes,Yes,1
128,Yes,1999,15,Male,Yes,Yes,0
129,Yes,1998,22,Male,Yes,Yes,3
130,Yes,2001,20,Male,Yes,Yes,1
131,No,1999,29,Female,No,No,4
132,No,2001,22,Male,Yes,Yes,3
133,Yes,2001,38,Female,No,Yes,3
134,Yes,1999,17,Female,Yes,Yes,0
135,Yes,2000,18,Female,Yes,Yes,0
136,Yes,1997,21,Male,Yes,No,3
137,No,2001,21,Male,Yes,No,4
138,Yes,1999,31,Male,Yes,Yes,1
139,Yes,2001,20,Male,Yes,Yes,1
140,Yes,1999,18,Male,Yes,Yes,0
141,Yes,1997,24,Male,No,No,0
142,Yes,2001,18,Male,Yes,Yes,2
143,Yes,2001,35,Male,Yes,Yes,2
144,Yes,1999,21,Male,Yes,Yes,1
145,Yes,2000,20,Male,Yes,Yes,1
146,Yes,1999,17,Male,Yes,Yes,2
147,Yes,2000,24,Female,Yes,Yes,0
148,Yes,1998,41,Male,Yes,Yes,2
149,Yes,1999,15,Male,Yes,Yes,1
150,No,2000,19,Male,Yes,Yes,3
151,Yes,2000,15,Male,Yes,Yes,2
152,Yes,2000,26,Male,Yes,Yes,0
153,Yes,1998,23,Male,Yes,Yes,0
154,Yes,1998,28,Male,Yes,Yes,1
155,No,2002,17,Male,No,Yes,0
156,No,1999,39,Male,No,Yes,4
157,Yes,1999,26,Male,Yes,Yes,4
158,Yes,2002,19,Male,Yes,Yes,1
159,Yes,2001,18,Male,Yes,Yes,0
160,Yes,1998,18,Male,Yes,Yes,0
161,Yes,1999,19,Male,Yes,No,0
162,Yes,2000,18,Female,Yes,Yes,0
163,Yes,1999,19,Male,Yes,Yes,3
164,Yes,1999,20,Male,No,Yes,4
165,Yes,2001,19,Male,Yes,Yes,2
166,No,1997,21,Male,No,No,2
167,No,1997,21,Male,No,No,2
168,No,1998,18,Male,No,Yes,3
169,Yes,1998,20,Male,Yes,Yes,3
170,Yes,2000,31,Male,Yes,Yes,3
171,Yes,1997,18,Male,Yes,No,4
172,Yes,1997,21,Male,No,No,4
173,No,2001,37,Male,Yes,No,0
174,Yes,1999,20,Male,No,Yes,3
175,Yes,2001,34,Male,Yes,Yes,2
176,Yes,1999,22,Male,Yes,Yes,0
177,Yes,1999,15,Male,Yes,Yes,4
178,No,1999,24,Male,Yes,Yes,3
179,No,1999,32,Male,Yes,Yes,4
180,Yes,2000,22,Male,Yes,Yes,1
181,Yes,1997,14,Female,Yes,Yes,1
182,Yes,2000,17,Male,Yes,Yes,5
183,Yes,1998,27,Male,Yes,No,0
184,Yes,2002,24,Male,Yes,Yes,1
185,Yes,2000,31,Male,Yes,Yes,0
186,Yes,1998,20,Male,No,Yes,1
187,Yes,2001,16,Male,Yes,Yes,0
188,Yes,2001,21,Male,Yes,Yes,1
189,Yes,2000,22,Male,Yes,Yes,1
190,Yes,2001,12,Male,Yes,Yes,0
191,Yes,1999,22,Male,Yes,Yes,0
192,Yes,1999,23,Male,Yes,Yes,0
193,No,1999,21,Male,No,Yes,1
194,No,2001,15,Male,Yes,Yes,5
195,Yes,2001,20,Male,No,Yes,3
196,Yes,2000,16,Male,Yes,Yes,0
197,Yes,1999,24,Male,Yes,No,0
198,Yes,1997,18,Male,Yes,No,4
199,No,1999,37,Female,No,Yes,2
200,Yes,2000,17,Male,Yes,Yes,1
201,Yes,1998,21,Male,Yes,Yes,2
202,Yes,2000,22,Male,Yes,Yes,3
203,No,1997,17,Male,No,Yes,2
204,Yes,2001,21,Male,Yes,No,0
205,Yes,1998,20,Male,Yes,Yes,0
206,Yes,1999,17,Male,Yes,Yes,2
207,Yes,1998,36,Female,Yes,Yes,4
208,Yes,2000,19,Male,Yes,Yes,0
209,Yes,2001,17,Male,No,Yes,1
210,Yes,2001,18,Male,Yes,Yes,0
211,Yes,1998,24,Male,Yes,Yes,0
212,Yes,1999,23,Male,Yes,Yes,0
213,Yes,1999,23,Male,Yes,Yes,0
214,Yes,1997,24,Male,No,Yes,5
215,Yes,1998,18,Male,Yes,Yes,1
216,Yes,1998,22,Male,Yes,Yes,3
217,Yes,1999,23,Male,Yes,Yes,4
218,Yes,2000,24,Male,Yes,Yes,0
219,Yes,2000,35,Male,Yes,Yes,3
220,Yes,2000,24,Female,Yes,Yes,2
221,Yes,1998,26,Male,Yes,Yes,3
222,Yes,2001,25,Male,Yes,Yes,0
223,Yes,1999,25,Male,Yes,Yes,1
224,Yes,2001,19,Male,No,Yes,5
225,Yes,2001,21,Male,No,Yes,1
226,No,1998,15,Male,Yes,Yes,3
227,Yes,1997,16,Male,Yes,No,0
228,Yes,2001,15,Male,Yes,Yes,0
229,Yes,2002,24,Male,Yes,Yes,1
230,Yes,1997,40,Male,Yes,No,0
231,Yes,1997,29,Male,Yes,No,4
232,Yes,2000,19,Male,Yes,Yes,2
233,Yes,1999,24,Male,Yes,Yes,3
234,Yes,2001,17,Male,Yes,Yes,0
235,Yes,2000,27,Male,Yes,No,3
236,Yes,1998,28,Male,Yes,Yes,4
237,Yes,1999,19,Female,Yes,Yes,0
238,Yes,1998,24,Male,Yes,Yes,3
239,Yes,2000,22,Male,No,Yes,2
240,Yes,1999,20,Male,Yes,Yes,0
241,Yes,2001,36,Male,Yes,Yes,1
242,No,1997,43,Male,No,No,0
243,Yes,2000,18,Male,Yes,Yes,2
244,Yes,1998,26,Male,Yes,Yes,3
245,Yes,2000,16,Female,Yes,Yes,0
246,Yes,2000,26,Male,Yes,Yes,1
247,No,2000,17,Male,No,Yes,4
248,Yes,1999,21,Male,Yes,No,0
249,Yes,2000,17,Male,Yes,Yes,3
250,Yes,2001,37,Male,Yes,Yes,0
251,Yes,1999,32,Male,Yes,Yes,0
252,No,2000,42,Male,Yes,Yes,3
253,Yes,2001,18,Male,Yes,Yes,2
254,Yes,2000,15,Female,Yes,Yes,0
255,Yes,1998,17,Male,Yes,Yes,0
256,Yes,1999,34,Male,No,Yes,0
257,Yes,2001,19,Male,Yes,Yes,3
258,Yes,2001,23,Male,Yes,Yes,0
259,Yes,2000,20,Male,Yes,Yes,2
260,Yes,2001,16,Male,Yes,Yes,0
261,Yes,2000,38,Male,Yes,Yes,2
262,Yes,2000,44,Male,Yes,Yes,3
263,Yes,1999,14,Male,Yes,Yes,0
264,Yes,1998,19,Male,Yes,Yes,3
265,Yes,2001,15,Male,Yes,Yes,0
266,No,1999,19,Male,Yes,Yes,0
267,Yes,2000,19,Male,Yes,Yes,1
268,Yes,2000,28,Male,Yes,Yes,3
269,Yes,2000,22,Male,Yes,Yes,1
270,Yes,1998,14,Male,Yes,Yes,2
271,Yes,1998,20,Male,Yes,Yes,0
272,Yes,1998,17,Male,Yes,Yes,3
273,Yes,2002,23,Male,Yes,Yes,1
274,Yes,2001,22,Male,Yes,Yes,0
275,Yes,1999,18,Male,Yes,Yes,3
276,Yes,1999,23,Male,Yes,Yes,3
277,No,2000,23,Male,Yes,Yes,0
278,Yes,2001,31,Female,Yes,Yes,0
279,Yes,1998,22,Male,Yes,Yes,3
280,Yes,1999,14,Male,Yes,Yes,0
281,No,1999,19,Female,Yes,Yes,0
282,Yes,1997,22,Male,Yes,No,4
283,Yes,1998,26,Male,Yes,Yes,0
284,Yes,1999,21,Female,No,Yes,0
285,No,1999,37,Male,Yes,No,2
286,Yes,2001,29,Male,Yes,Yes,2
287,Yes,2001,17,Male,Yes,Yes,1
288,Yes,2000,19,Male,Yes,Yes,0
289,Yes,2001,19,Male,Yes,Yes,3
290,Yes,2001,18,Male,No,Yes,3
291,Yes,1998,18,Male,Yes,Yes,3
292,No,2000,19,Male,Yes,Yes,4
293,Yes,2000,17,Female,Yes,Yes,2
294,Yes,2001,34,Male,Yes,Yes,0
295,Yes,2000,19,Male,Yes,Yes,0
296,Yes,1999,25,Male,Yes,Yes,1
297,Yes,2000,26,Male,Yes,Yes,0
298,Yes,1998,21,Male,No,Yes,3
299,Yes,2001,24,Male,Yes,Yes,3
300,Yes,2001,25,Male,Yes,Yes,0
301,Yes,2001,21,Male,Yes,Yes,2
302,Yes,1999,22,Male,Yes,Yes,0
303,Yes,2000,19,Male,Yes,Yes,0
304,Yes,2002,16,Female,Yes,Yes,0
305,Yes,2000,18,Male,Yes,No,4
306,Yes,1997,14,Male,Yes,No,0
307,Yes,2000,19,Male,Yes,Yes,0
308,Yes,2000,19,Male,Yes,Yes,3
309,Yes,1999,17,Male,Yes,Yes,3
310,Yes,1999,18,Male,Yes,Yes,2
311,Yes,1999,32,Male,Yes,Yes,4
312,Yes,2002,16,Male,Yes,Yes,0
313,No,1998,19,Male,No,Yes,4
314,Yes,2001,18,Male,Yes,Yes,2
315,Yes,2001,20,Male,Yes,Yes,2
316,No,1998,14,Male,Yes,Yes,1
317,Yes,2001,20,Male,Yes,Yes,0
318,No,2000,45,Male,Yes,Yes,4
319,Yes,1999,26,Male,Yes,Yes,2
320,Yes,2001,21,Male,Yes,Yes,0
321,Yes,1997,17,Male,Yes,Yes,0
322,Yes,1998,52,Male,Yes,Yes,4
323,Yes,2001,16,Male,Yes,Yes,0
324,Yes,1998,27,Male,Yes,Yes,0
325,Yes,1999,23,Male,Yes,Yes,0
326,No,2002,29,Female,No,Yes,4
327,Yes,2000,20,Male,Yes,Yes,1
328,Yes,2001,19,Male,Yes,Yes,4
329,Yes,1997,21,Male,No,No,2
330,Yes,1997,18,Female,Yes,Yes,0
331,No,2001,40,Male,No,Yes,3
332,Yes,1999,22,Male,Yes,Yes,4
333,Yes,2000,16,Male,Yes,Yes,1
334,Yes,2001,30,Male,Yes,Yes,2
335,Yes,2001,41,Female,No,Yes,2
336,Yes,1998,33,Male,Yes,Yes,3
337,Yes,1999,21,Male,Yes,No,1
338,Yes,2002,22,Male,No,Yes,1
339,No,2000,24,Male,Yes,Yes,1
340,No,1998,16,Male,Yes,No,1
341,Yes,1999,43,Male,No,Yes,2
342,No,2001,23,Male,No,Yes,2
343,Yes,1998,24,Male,Yes,Yes,2
344,Yes,2001,35,Male,Yes,Yes,2
345,Yes,1998,23,Male,Yes,Yes,0
346,Yes,1998,29,Male,Yes,Yes,4
347,Yes,1999,21,Male,No,Yes,1
348,Yes,2000,19,Female,No,Yes,1
349,Yes,2001,19,Male,Yes,Yes,1
350,Yes,1998,22,Male,Yes,Yes,4
351,Yes,2001,21,Male,Yes,Yes,0
352,Yes,1997,18,Male,Yes,Yes,1
353,Yes,1998,21,Male,No,Yes,3
354,Yes,2001,22,Male,No,No,0
355,Yes,1998,32,Male,No,Yes,2
356,Yes,2000,18,Male,Yes,Yes,0
357,Yes,2000,33,Male,Yes,Yes,1
358,Yes,2000,22,Male,Yes,Yes,0
359,Yes,2001,19,Male,Yes,Yes,4
360,Yes,1999,36,Female,Yes,Yes,3
361,Yes,2001,19,Male,Yes,Yes,1
362,Yes,1997,34,Male,Yes,No,0
363,Yes,1998,19,Male,Yes,Yes,4
364,Yes,2001,21,Male,No,Yes,1
365,Yes,2000,19,Male,Yes,Yes,0
366,Yes,2000,34,Male,Yes,Yes,1
367,Yes,1997,32,Male,Yes,Yes,2
368,Yes,1997,16,Male,No,No,0
369,Yes,2000,49,Male,Yes,Yes,3
370,Yes,2000,26,Male,No,Yes,3
371,Yes,2000,43,Male,Yes,Yes,0
372,No,2002,20,Male,No,Yes,4
373,No,1998,21,Male,No,No,4
374,Yes,2000,18,Male,Yes,Yes,0
375,Yes,1997,16,Male,No,No,0
376,Yes,1998,21,Female,No,Yes,0
377,Yes,2000,16,Male,Yes,Yes,1
378,Yes,2001,31,Male,No,Yes,3
379,Yes,2000,25,Male,Yes,Yes,1
380,No,2001,20,Male,Yes,Yes,3
381,No,2000,41,Male,No,Yes,3
382,Yes,2000,15,Male,Yes,Yes,0
383,Yes,2001,22,Male,Yes,Yes,0
384,Yes,2000,16,Male,Yes,Yes,1
385,Yes,2000,25,Male,Yes,No,0
386,Yes,2001,33,Male,No,Yes,5
387,No,2001,27,Male,No,Yes,4
388,Yes,1999,17,Male,Yes,Yes,0
389,No,2000,21,Male,No,Yes,4
390,Yes,1998,20,Male,Yes,Yes,0
391,No,2000,30,Male,No,Yes,1
392,Yes,1998,25,Male,Yes,Yes,0
393,No,2001,53,Male,Yes,Yes,4
394,No,1998,19,Male,Yes,Yes,3
395,No,1999,33,Female,No,Yes,1
396,Yes,2001,22,Male,Yes,Yes,2
397,Yes,2001,17,Female,Yes,Yes,1
398,Yes,1999,19,Male,Yes,Yes,0
399,Yes,1998,18,Male,Yes,Yes,0
400,Yes,1999,23,Male,No,Yes,4
401,Yes,2000,20,Male,Yes,Yes,0
402,Yes,2002,20,Male,Yes,Yes,2
403,Yes,2002,22,Male,Yes,Yes,3
404,No,1998,28,Male,No,Yes,2
405,Yes,2001,20,Male,Yes,Yes,2
406,Yes,2001,15,Male,Yes,Yes,1
407,Yes,2001,15,Male,Yes,Yes,0
408,Yes,2002,15,Male,Yes,Yes,0
409,Yes,1999,23,Male,No,Yes,4
410,Yes,2000,41,Male,Yes,Yes,2
411,No,1999,34,Male,Yes,Yes,4
412,No,1997,26,Male,Yes,No,4
413,Yes,2002,15,Male,Yes,Yes,0
414,No,1997,27,Male,No,No,4
415,No,2001,38,Male,Yes,Yes,4
416,Yes,1998,21,Male,Yes,Yes,5
417,Yes,1999,17,Male,Yes,Yes,1
418,Yes,2000,19,Male,Yes,Yes,2
419,Yes,1997,17,Male,Yes,No,3
420,No,1997,18,Male,Yes,No,4
421,Yes,2001,20,Female,Yes,Yes,0
422,Yes,1999,28,Male,Yes,Yes,2
423,Yes,2001,34,Male,Yes,Yes,1
424,Yes,2000,15,Male,Yes,Yes,0
425,Yes,1999,23,Male,Yes,Yes,4
426,Yes,2000,37,Male,Yes,Yes,0
427,Yes,1999,15,Female,Yes,Yes,0
428,Yes,2000,31,Male,Yes,Yes,0
429,Yes,1998,15,Male,Yes,Yes,0
430,Yes,2001,53,Male,Yes,Yes,1
431,Yes,1998,19,Male,No,Yes,3
432,Yes,1999,40,Male,Yes,Yes,3
433,Yes,1998,23,Male,Yes,No,0
434,Yes,1998,16,Male,Yes,Yes,4
435,Yes,2000,19,Female,Yes,Yes,0
436,Yes,1999,17,Male,Yes,Yes,0
437,Yes,2000,20,Male,Yes,Yes,0
438,No,1997,41,Male,Yes,No,1
439,Yes,2001,19,Male,Yes,Yes,3
440,Yes,1998,17,Male,Yes,Yes,0
441,Yes,2000,23,Male,Yes,Yes,1
442,Yes,1998,40,Male,No,Yes,3
443,Yes,2001,23,Male,Yes,No,3
444,Yes,2001,19,Male,Yes,Yes,0
445,No,1998,23,Male,Yes,Yes,3
446,Yes,1999,16,Male,Yes,No,2
447,Yes,2001,32,Male,Yes,Yes,0
448,No,1997,42,Male,Yes,Yes,4
449,No,2000,43,Male,Yes,Yes,1
450,Yes,2001,15,Male,Yes,Yes,0
451,Yes,2000,17,Male,Yes,Yes,4
452,No,2000,18,Male,Yes,Yes,2
453,Yes,2002,20,Male,Yes,Yes,2
454,Yes,2000,30,Male,Yes,Yes,0
455,Yes,1997,16,Male,Yes,No,1
456,No,2001,26,Male,No,No,3
457,No,1999,21,Male,Yes,Yes,3
458,Yes,2002,27,Male,Yes,Yes,1
459,Yes,2000,17,Male,Yes,Yes,2
460,Yes,2002,43,Male,Yes,Yes,4
461,Yes,2000,20,Male,Yes,Yes,0
462,Yes,1997,17,Male,Yes,No,0
463,Yes,2000,16,Male,Yes,Yes,0
464,Yes,1999,47,Male,Yes,Yes,0
465,Yes,1999,17,Male,Yes,Yes,0
466,Yes,1999,18,Male,Yes,Yes,1
467,No,2001,54,Male,Yes,Yes,0
468,Yes,1999,21,Male,No,No,0
469,Yes,1999,21,Male,Yes,Yes,2
470,Yes,2001,17,Male,Yes,Yes,0
471,Yes,1999,18,Male,No,No,1
472,Yes,2000,19,Male,Yes,Yes,0
473,Yes,1999,21,Female,Yes,Yes,0
474,Yes,1998,20,Male,Yes,Yes,3
475,Yes,1998,21,Male,Yes,Yes,2
476,Yes,2000,14,Male,Yes,Yes,0
477,Yes,1999,25,Male,Yes,Yes,1
478,Yes,2000,19,Male,No,Yes,1
479,Yes,1998,17,Male,Yes,Yes,0
480,No,2001,21,Male,Yes,No,2
481,Yes,2001,36,Male,Yes,Yes,2
482,Yes,2002,25,Male,Yes,Yes,1
483,Yes,1998,18,Female,Yes,Yes,0
484,Yes,1998,19,Male,Yes,Yes,0
485,Yes,1999,19,Male,Yes,Yes,4
486,Yes,1999,31,Male,No,Yes,2
487,No,1997,37,Male,No,No,5
488,Yes,1997,32,Male,Yes,No,2
489,Yes,2001,16,Male,Yes,Yes,0
490,Yes,1997,31,Male,No,No,0
491,Yes,1999,22,Male,Yes,Yes,1
492,Yes,2000,28,Male,Yes,Yes,0
493,Yes,2001,25,Male,Yes,Yes,0
494,No,1998,25,Male,Yes,No,4
495,Yes,1998,49,Male,Yes,Yes,0
496,Yes,1997,44,Male,No,Yes,3
497,No,2001,28,Male,Yes,Yes,4
498,Yes,1997,33,Male,No,Yes,4
499,Yes,1998,19,Male,Yes,Yes,2
500,Yes,2001,32,Male,Yes,Yes,2
501,Yes,1997,16,Male,Yes,No,0
502,No,1997,28,Male,Yes,No,4
503,Yes,1998,16,Male,Yes,Yes,2
504,Yes,1999,16,Male,Yes,Yes,2
505,Yes,2000,18,Female,Yes,Yes,0
506,Yes,1999,26,Male,Yes,Yes,2
507,Yes,1997,20,Female,Yes,No,0
508,Yes,1999,22,Male,Yes,Yes,2
509,Yes,2000,18,Male,Yes,Yes,0
510,No,2000,15,Female,Yes,Yes,4
511,Yes,1999,18,Male,Yes,Yes,0
512,Yes,2000,23,Male,No,Yes,3
513,Yes,1998,21,Male,Yes,Yes,0
514,Yes,1999,24,Male,Yes,Yes,1
515,Yes,2001,39,Male,No,Yes,3
516,Yes,2000,31,Male,Yes,Yes,0
517,Yes,1999,34,Male,Yes,Yes,0
518,No,2002,19,Male,Yes,Yes,3
519,Yes,1997,21,Male,Yes,No,4
520,No,2001,24,Male,No,Yes,3
521,Yes,2001,39,Male,Yes,No,3
522,No,2000,19,Male,No,Yes,3
523,Yes,2000,34,Male,No,Yes,1
524,Yes,1999,22,Male,Yes,Yes,4
525,No,2001,48,Male,Yes,Yes,4
526,Yes,2001,26,Male,No,Yes,3
527,Yes,2000,39,Male,Yes,Yes,0
528,No,2001,16,Male,Yes,Yes,3
529,Yes,1997,29,Male,Yes,Yes,1
530,Yes,2000,25,Male,Yes,Yes,3
531,Yes,2001,15,Male,Yes,Yes,1
532,Yes,2001,17,Male,Yes,Yes,1
533,Yes,2000,21,Male,Yes,Yes,1
534,Yes,2000,20,Male,Yes,Yes,2
535,Yes,1998,14,Male,Yes,Yes,0
536,No,2000,18,Male,Yes,Yes,0
537,Yes,1999,18,Male,Yes,Yes,4
538,Yes,1997,18,Male,Yes,No,2
539,Yes,2000,18,Male,Yes,Yes,1
540,No,1999,19,Male,Yes,Yes,0
541,Yes,1999,17,Male,Yes,Yes,1
542,Yes,1997,17,Male,Yes,No,0
543,Yes,2000,31,Male,Yes,Yes,4
544,Yes,2001,28,Male,Yes,Yes,1
545,No,1998,20,Male,Yes,No,0
546,Yes,2000,17,Male,Yes,Yes,1
547,Yes,1999,20,Male,Yes,No,0
548,Yes,2001,15,Female,Yes,Yes,0
549,Yes,2001,23,Male,Yes,Yes,1
550,Yes,2001,16,Male,Yes,Yes,3
551,No,2001,43,Male,Yes,Yes,3
552,Yes,2000,16,Female,Yes,Yes,0
553,No,1998,22,Male,No,Yes,0
554,Yes,2001,27,Male,Yes,Yes,4
555,Yes,2001,17,Male,Yes,Yes,0
556,Yes,2001,16,Male,Yes,Yes,0
557,Yes,2001,33,Male,Yes,Yes,0
558,Yes,2000,39,Male,No,Yes,0
559,No,2000,27,Male,Yes,Yes,3
560,No,1998,16,Female,No,Yes,2
561,Yes,2000,30,Male,Yes,Yes,4
562,Yes,1999,19,Male,Yes,Yes,3
563,Yes,1999,26,Male,No,Yes,3
564,Yes,2001,16,Male,Yes,Yes,0
565,Yes,1999,21,Male,No,Yes,4
566,Yes,2000,25,Male,No,No,1
567,Yes,2001,18,Male,Yes,Yes,4
568,Yes,2000,13,Male,No,Yes,4
569,Yes,2001,32,Female,No,Yes,3
570,No,2000,45,Male,Yes,Yes,3
571,Yes,2000,20,Male,Yes,Yes,3
572,Yes,2002,16,Male,Yes,Yes,0
573,Yes,1998,32,Male,Yes,Yes,1
574,Yes,1998,17,Male,Yes,Yes,2
575,Yes,1999,46,Female,Yes,No,2
576,Yes,2001,20,Male,Yes,Yes,1
577,Yes,1998,22,Male,No,Yes,1
578,Yes,2001,21,Male,Yes,Yes,4
579,Yes,1997,27,Male,Yes,No,0
580,Yes,1999,18,Male,Yes,Yes,2
581,Yes,2001,18,Male,Yes,Yes,0
582,Yes,2000,45,Male,Yes,Yes,0
583,No,2000,16,Male,Yes,Yes,0
584,Yes,2001,21,Male,No,Yes,3
585,Yes,1998,15,Male,Yes,Yes,2
586,Yes,2001,26,Male,Yes,Yes,0
587,No,1998,17,Male,Yes,Yes,3
588,Yes,1999,19,Male,Yes,Yes,3
589,Yes,2000,18,Male,Yes,Yes,0
590,Yes,1999,37,Male,No,Yes,1
591,Yes,1998,18,Male,Yes,Yes,2
592,Yes,2002,25,Male,Yes,No,2
593,Yes,1997,20,Male,Yes,No,0
594,Yes,1998,29,Female,Yes,Yes,0
595,Yes,2001,23,Male,No,Yes,1
596,Yes,2000,20,Male,Yes,Yes,3
597,Yes,2001,18,Male,Yes,Yes,3
598,Yes,1997,14,Male,Yes,No,0
599,Yes,2000,28,Male,Yes,Yes,0
600,No,2000,31,Male,Yes,No,0
601,Yes,2001,20,Male,Yes,Yes,1
602,Yes,1999,18,Male,Yes,Yes,0
603,No,1999,15,Male,Yes,Yes,3
604,Yes,2001,20,Male,Yes,Yes,0
605,Yes,2000,18,Male,Yes,Yes,0
606,Yes,1999,20,Male,Yes,Yes,4
