"abityé"	"abitje"	"habituer"
"alimanté"	"alimɑ̃te"	"alimenter"
"alyansé"	"aljɑ̃se"	"allier"
"amadouwé"	"amaduwe"	"amadouer"
"amizé"	"amize"	"amuser"
"amòrti"	"amòrti"	"amortir"
"analizé"	"analize"	"analyser"
"anbaglé"	"ɑ̃bagle"	"xxx"
"anbaké var baké"	"ɑ̃bake"	"embarquer"
"anbalé"	"ɑ̃bale"	"emballer"
"anbarasé"	"ɑ̃baʀase"	"embarrasser"
"anbété"	"ɑ̃bete"	"embêter"
"anbobiné var bobiné"	"ɑ̃bobine"	"embobiner"
"anbomé"	"ɑ̃bɔ̃me"	"baume > embaumer"
"anbomé 2"	"ɑ̃bɔ̃me"	"baume > embaumer"
"anbwaré cf bwaré"	"ɑ̃bwaʀe"	"bras"
"anbwaté"	"ɑ̃bwate"	"emboîter"
"anchéné"	"ɑ̃ʃene"	"enchaîner"
"andété"	"ɑ̃dete"	"dette > endetter"
"andui"	"ɑdɥi"	"enduire"
"anèstézyé"	"anɛstezye"	"anesthésier"
"anfiyansé cf fiyansé"	"ɑ̃fijɑ̃se"	"fiancer"
"anfouné"	"ɑ̃fune"	"four > enfourner"
"angajé"	"ɑ̃gaʒe"	"engager.   gage > engager"
"angrésé"	"ɑ̃gʀese"	"engraisser"
"angwé"	"ɑ̃gwe"	"engouer"
"anilé"	"anile"	"annuler"
"animé"	"anime"	"animer"
"ankadré"	"ɑ̃kadʀe"	"cadre  >  encadrer"
"ankastré"	"ɑ̃kastʀe"	"encastrer"
"ankésé"	"ɑ̃kese"	"encaisser"
"ankilozé"	"ɑ̃kiloze"	"ankyloser"
"ankonbré"	"ɑ̃kɔ̃bʀe"	"encombrer"
"ankourajé"	"ɑ̃kuʀaʒe"	"courage  > encourager"
"ankrasé"	"ɑ̃kʀase"	"crasse  > encrasser"
"ankré"	"ɑ̃kʀe"	"ancre  > ancrer"
"ankréyé"	"ɑ̃kʀeje"	"xxx"
"anlédi"	"ɑ̃ledi"	"laid > enlaidir"
"anmagaziné"	"ɑ̃magazine"	"magasin > emmagasiner"
"anmanché v manché"	"ɑ̃mɑ̃ʃe"	"manche > emmancher"
"anmariné cf mariné"	"ɑ̃maʀine"	"mariner"
"anmayoté"	"ɑ̃majote"	"maillot > emmailloter"
"anmèkdé cf anmèrdé"	"ɑ̃mεkde"	"merde > emmerder"
"anménajé"	"ɑ̃menaʒe"	"aménager"
"anmerdé"	"ɑ̃mεʀde"	"merde > emmerder"
"anmidonné"	"ɑ̃midɔ̃ne"	"amidon > amidonner"
"anmizé"	"ɑ̃mize"	"amuser"
"annargé cf nargé"	"ɑ̃naʀge"	"narguer"
"annuyé"	"ɑ̃nɥje"	"ennuyer"
"annuyé 2"	"ɑ̃nɥje"	"ennuyer"
"anonsé"	"anɔ̃se"	"annoncer"
"anpakté"	"ɑ̃pakte"	"empaqueter"
"anpayé"	"ɑ̃paje"	"empailler"
"anpéché"	"ɑ̃peʃe"	"empêcher"
"anpèsté"	"ɑ̃pεste"	"peste > empester"
"anpifré"	"ɑ̃pifʀe"	"s'empiffrer"
"anpilé"	"ɑ̃pile"	"pile"
"anpiré"	"ɑ̃piʀe"	"empirer"
"anpwazonné"	"ɑ̃pwazɔ̃ne"	"poison > empoisonner"
"anrèjistré"	"ɑ̃ʀεʒistʀe"	"registre > enregistrer"
"anrichi"	"ɑ̃ʀiʃi"	"riche > enrichir"
"antamé"	"ɑ̃tame"	"entamer"
"antasé"	"ɑ̃tase"	"tas > entasser"
"antéré var téré"	"ɑ̃teʀe"	"terre > enterrer"
"antiché"	"ɑ̃tiʃe"	"enticher (s')"
"antonné"	"ɑ̃tɔ̃ne"	"entonner"
"antòtiyé var tòtiyé"	"ɑ̃tɔtije"	"entortiller"
"antouré"	"ɑ̃tuʀe"	"entourer"
"antré"	"ɑ̃tʀe"	"entrer"
"antrenné"	"ɑ̃tʀɛ̃ne"	"entraîner"
"antrenné 2"	"ɑ̃tʀɛ̃nε"	"entraîner"
"antrèprann"	"ɑ̃tʀεpʀɑ̃n"	"entreprendre"
"antrètyenn"	"ɑ̃tʀεtjɛ̃n"	"entretenir"
"anvalé var valé"	"ɑ̃vale"	"avaler"
"anvayi"	"ɑ̃vaji"	"envahir"
"anvi"	"ɑ̃vi"	"envie"
"anviwonné"	"ɑ̃viwɔ̃ne"	"environner"
"anvizajé"	"ɑ̃vizaʒe"	"visage > envisager"
"anvlimé"	"ɑ̃vlime"	"venin > envenimer"
"anvyé"	"ɑ̃vje"	"envier"
"anvyolé cf vyolé"	"ɑ̃vjole"	"violer > viol"
"anwoulé"	"ɑ̃wule"	"enrouler"
"aparéyé"	"apaʀeje"	"appareiller"
"apiyé"	"apije"	"appuyer"
"aplodi"	"aplodi"	"applaudir"
"aprann"	"apʀɑ̃n"	"apprendre"
"aprésyé"	"apʀesje"	"apprécier"
"aprivwazé"	"apʀivwaze"	"apprivoiser"
"aprouvé"	"apʀuve"	"approuver"
"aprovizyonné"	"apʀovisjɔ̃ne"	"provision > approvisonner"
"apwoché"	"apwoʃe"	"approcher"
"aranjé"	"aʀɑ̃ʒe"	"arranger"
"arbitré"	"aʀbitʀe"	"arbitrer"
"arèsté cf arété"	"aʀεste"	"arrêter"
"arété var arèsté"	"aʀete"	"arrêter"
"arimé"	"aʀime"	"arrimer"
"asasiné"	"asasine"	"assassiner"
"asèpté"	"asεpté"	"accepter"
"asézonné"	"asezɔ̃ne"	"assaisonner"
"asijéti"	"asiʒeti"	"assujettir"
"asiré"	"asiʀe"	"assurer"
"asiré 2"	"asiʀe"	"assurer"
"asòrti"	"asɔʀti"	"assortir"
"asosyé"	"asosje"	"associer"
"aspèrjé"	"aspεʀʒe"	"asperger"
"astiké"	"astike"	"astiquer"
"atablé"	"atable"	"table > attabler"
"ataké 1"	"atake"	"attaquer > attaque"
"ataké 2"	"atake"	"attaquer > attaque"
"atann"	"atɑ̃n"	"attendre"
"atéri"	"ateʀi"	"terre > atterrir"
"atiré"	"atiʀe"	"attirer"
"atlé"	"atle"	"atteler"
"avansé cf vansé"	"avãse"	"avancer"
"avantajé"	"avãtaʒe"	"avantage >avantager"
"avèti cf vèti"	"avεti"	"avertir"
"avizé"	"avize"	"aviser"
"avòté"	"avɔte"	"avorter"
"avwé"	"avwe"	"avouer"
"ay"	"aj"	"aller"
"azardé"	"azaʀde"	"hasard > hasarder"
"ba"	"ba"	"bailler"
"babyé"	"babje"	"babiller"
"baché"	"baʃe"	"bâcher"
"badijonné"	"badiʒɔ̃ne"	"badigeon >badigeonner"
"badiné"	"badine"	"badiner"
"bafouyé"	"bafuje"	"bafouiller"
"baké"	"bake"	"barque > embarquer"
"baklé"	"bakle"	"bacler"
"balansé"	"balɑ̃se"	"balancer > balance"
"baléyé"	"baleje"	"balai > balayer"
"balkoné"	"balkone"	"balcon"
"balonné"	"balɔ̃ne"	"ballonner"
"baloté"	"balote"	"ballotter"
"balyé cf baléyé"	"balje"	"balayer"
"bandé"	"bãde"	"bander"
"bandé 2"	"bãde"	"bander"
"bandoné cf abandoné"	"bɑ̃done"	"abandonner"
"baragwiné"	"baʀagwine"	"baragouin > baragouiner"
"barboté"	"baʀbote"	"barboter"
"bardé"	"bawde"	"barder"
"baré"	"baʀe"	"barrer"
"baré 2"	"baʀe"	"barrer"
"baré 3"	"baʀe"	"barrer"
"baré 4"	"baʀe"	"barrer"
"baré kous"	"baʀe-kous"	"barrer-course"
"barikadé"	"baʀikade"	"barricade > barricader"
"basé"	"base"	"basse"
"baskilé"	"baskile"	"basculer"
"bat"	"bat"	"battre"
"bat-aryè"	"bataʀjε"	"battre-arrière"
"bat-chat"	"batʃat"	"xxx"
"bat-dèyè"	"batdεjε"	"battre"
"batdous"	"batdus"	"battre"
"baté"	"bate"	"bâter"
"batifolé"	"batifole"	"batifoler"
"batizé"	"batize"	"baptiser"
"bat-men"	"batmɛ̃"	"battre-main"
"bat-zantricha"	"batzɑ̃tʀiʃa"	"battre"
"bavé"	"bave"	"bave > baver"
"bay"	"baj"	"bailler"
"bay filaj"	"bajfilaʒ"	"bailler"
"bay lanmen"	"bajlɑ̃mɛ̃"	"bailler-main"
"bayé"	"baje"	"bâiller"
"bazé"	"baze"	"base > baser"
"bégéyé"	"begeje"	"bégayer"
"bèkté"	"bεkte"	"bec > becqueter"
"bénéfisyé"	"benefisje"	"bénéficier"
"bénékaki"	"benekaki"	"xxx"
"bengné"	"bɛ̃ɲe"	"baigner"
"béni"	"beni"	"bénir"
"bèrsé"	"bεʀse"	"bercer"
"bésé"	"bese"	"baisser"
"bésé pyé"	"besepje"	"baisser-pied"
"bétizé"	"betize"	"bêtise > bêtiser"
"bétonné"	"betɔ̃ne"	"béton > betonner"
"bigidi"	"bigidi"	"xxx"
"biginé"	"bigine"	"biguine"
"bigòp 2"	"bigɔp"	"big up"
"biké"	"bike"	"xxx"
"bildozé"	"bildoze"	"bulldozer"
"bimé"	"bime"	"abimer"
"bipé"	"bipe"	"beep"
"bisé"	"bise"	"bis > bisser"
"bityé"	"bitje"	"xxx"
"blagé"	"blage"	"blaguer > blague (à vérifier***)"
"blanchi"	"blãʃi"	"blanc > blanchir"
"blanmé"	"blãme"	"blâmer"
"blasfémé"	"blasfeme"	"blasphémer"
"blenmi"	"blɛ̃mi"	"blêmir > bléme"
"blésé"	"blese"	"blesser"
"bloké"	"bloke"	"bloquer"
"blouzé"	"bluze"	"blouse > blouser"
"bo 2"	"bo"	"xxx"
"bobi"	"bobi"	"xxx"
"bobiné"	"bobine"	"bobine > embobiner"
"bòdé"	"bɔde"	"aborder"
"bokanté"	"bokɑ̃te"	"brocanter > brocante"
"boké"	"boke"	"xxx"
"bòksé"	"bɔkse"	"boxer"
"bonbansé"	"bɔ̃bɑ̃se"	"bombance > bombancer"
"bonbardé"	"bɔ̃bɑʀde"	"bombarder"
"bondaté"	"bɔ̃date"	"xxx"
"bòné"	"bɔne"	"borner"
"bouché"	"buʃe"	"boucher"
"bouchonné"	"buʃɔ̃ne"	"bouchon"
"boudé"	"bude"	"bouder"
"boudiné"	"budine"	"boudin > boudiner"
"boufi"	"bufi"	"bouffir"
"boufi 2"	"bufi"	"bouffir"
"boufté"	"bufte"	"bouffer"
"bougonné"	"bugɔ̃ne"	"bougonner"
"boujé"	"buʒe"	"bouger"
"boujonné"	"buʒɔ̃ne"	"bourgeon > bourgeonner"
"boukanné"	"bukãne"	"xxx"
"bouklé"	"bukle"	"boucler"
"boula 2"	"bula"	"xxx"
"boulvèsé"	"bulvεse"	"bouleverser"
"bouré"	"buʀe"	"bourrer"
"bouré 2"	"buʀe"	"bourrer"
"bouskilé"	"buskile"	"bousculer"
"bousouflé"	"busufle"	"boursoufler"
"bout 2"	"but"	"bout"
"boutonné"	"butɔ̃ne"	"bouton > boutonner"
"bouyi"	"buji"	"bouillir"
"bouyonné"	"bujɔ̃ne"	"bouillon > bouillonner"
"bouzen cf bouzwen"	"buzɛ̃"	"besoin"
"bouzwen var bouzen"	"buzwɛ̃"	"besoin"
"braké"	"bʀake"	"braquer"
"braké 2"	"bʀake"	"braquer"
"branché"	"bʀɑ̃ʃe"	"brancher"
"bréché"	"bʀeʃe"	"ébrécher"
"brenné cf branné"	"bʀɛ̃ne"	"xxx"
"bridé"	"bʀide"	"bride > brider"
"brikolé"	"bʀikole"	"bricoler"
"brilé"	"bʀile"	"brûler"
"britalizé"	"bʀitalize"	"brutal > brutaliser"
"briyé"	"bʀije"	"briller"
"brizé"	"bʀize"	"briser"
"brodé"	"bʀode"	"broder"
"brodé 2"	"bʀode"	"broder"
"bronzé"	"bʀɔ̃ze"	"bronze > bronzer"
"brosé"	"bʀose"	"brosse > brosser"
"bwanné"	"bwɑ̃ne"	"xxx"
"bwaré"	"bwaʀe"	"bras"
"bwasonné"	"bwasɔ̃ne"	"boisson > boissonner"
"bwazé"	"bwaze"	"boiser"
"bwè"	"bwε"	"boire"
"bwété"	"bwete"	"boiter"
"bwété 2"	"bwete"	"xxx"
"chaché cf chèché"	"ʃaʃe"	"chercher"
"chagriné"	"ʃagʀine"	"chagriner"
"chajé"	"ʃaʒe"	"charger > charge"
"chaléré"	"ʃaleʀe"	"xxx"
"chalviré"	"ʃalviʀe"	"chavirer"
"chanboulé"	"ʃɑ̃bule"	"chambouler"
"chanjé"	"ʃɑ̃ʒe"	"changer"
"chanté"	"ʃɑ̃te"	"chanter"
"chantyé"	"ʃɑ̃tje"	"chantier"
"chapé"	"ʃape"	"échapper"
"chapoté"	"ʃapote"	"chapeau > chapeauter"
"charmé"	"ʃaʀme"	"charme > charmer"
"chasé"	"ʃase"	"chasser"
"chasé 2"	"ʃase"	"chasser"
"chatouyé"	"ʃatuje"	"chatouiller"
"chayé"	"ʃaje"	"charrier"
"chayé 2"	"ʃaje"	"charrier"
"chèché"	"ʃεʃe"	"chercher"
"chifonné"	"ʃifɔ̃ne"	"chiffon > chiffonner"
"chifonné 3"	"ʃifɔ̃ne"	"chiffon > chiffonner"
"chigné"	"ʃiɲe"	"chigner"
"chikanné"	"ʃikɑ̃ne"	"chicaner"
"chiktayé"	"ʃiktaje"	"xxx"
"chiné"	"ʃine"	"chiner"
"chiré"	"ʃiʀe"	"déchirer"
"cho 3"	"ʃo"	"chaud"
"chodé"	"ʃode"	"échauder"
"chodé 2"	"ʃode"	"chaux >chauler"
"chofé"	"ʃofe"	"chauffer"
"chofé 2"	"ʃofe"	"chauffer"
"choké"	"ʃoke"	"choquer > choc"
"chomé"	"ʃome"	"chômer"
"chonjé"	"ʃɔ̃ʒe"	"songer"
"chosé"	"ʃose"	"chausser"
"chosé 2"	"ʃose"	"chausser (vocable agricole)"
"chouboulé"	"ʃubule"	"xxx"
"chouté"	"ʃute"	"ang shoot"
"chwazi"	"ʃwazi"	"choisir"
"chyé"	"ʃje"	"chier"
"chyé 2"	"ʃje"	"chier"
"danmé"	"dɑ̃me"	"damer"
"dansé"	"dɑ̃se"	"danser"
"dardé"	"daʀde"	"dard > darder"
"daté"	"daté"	"date > dater"
"débaché"	"debaʃe"	"bâcher > débâcher"
"débaglé"	"debagle"	"xxx"
"débaké"	"debake"	"débarquer"
"débalé"	"debale"	"déballer"
"débandé"	"debɑ̃de"	"bander > débander"
"débarasé"	"debaʀase"	"débarrasser"
"débaré"	"debaʀe"	"débarrer"
"débat"	"debat"	"débattre"
"débaté"	"debate"	"bâter > débâter"
"débatizé"	"debatize"	"baptiser > débaptiser"
"débawbouyé"	"debawbuje"	"débarbouiller"
"débité"	"debite"	"débiter"
"débité 2"	"debite"	"débuter"
"débloké"	"debloke"	"débloquer"
"débobiné"	"debobine"	"bobine > débobiner"
"débòdé"	"debɔde"	"déborder"
"débòdé 2"	"debɔde"	"déborder"
"débondaté"	"debɔ̃date"	"xxx"
"débouché"	"debuʃe"	"boucher > déboucher"
"débouchonné"	"debuʃɔ̃ne"	"bouchon"
"débouklé"	"debukle"	"boucler > déboucler"
"déboulé"	"debule"	"débouler"
"débousé"	"debuse"	"bourse > débourser"
"déboutonné"	"debutɔ̃ne"	"boutonner > déboutonner"
"débouyé"	"debuje"	"débrouiller"
"débouyé 2"	"debuje"	"débrouiller"
"débranché"	"debʀɑ̃ʃe"	"brancher > débrancher"
"débridé"	"debʀide"	"brider > débrider"
"débwaré"	"debwaʀe"	"bras"
"débwazé"	"debwaze"	"boiser > déboiser"
"débwété cf bwété"	"debwete"	"boiter"
"débwousayé"	"debwusaje"	"brousaille > débrousailler"
"déchajé"	"deʃaʒe"	"charger > décharger"
"déchalviré"	"deʃalviʀe"	"chavirer"
"déchayé"	"deʃaje"	"charrier"
"déchéné"	"deʃene"	"chaîne > déchaîner"
"déchèpiyé"	"deʃεpije"	"charpie"
"déchifonné"	"deʃifɔ̃ne"	"déchiffonner"
"déchiktayé"	"deʃiktaje"	"xxx"
"déchikté"	"deʃikte"	"déchiqueter"
"déchiré vr chiré"	"deʃiʀe"	"déchirer"
"déchosé"	"deʃose"	"déchausser"
"déchouké"	"deʃuke"	"xxx"
"dédi"	"dedi"	"dire > dédire"
"dédomajé"	"dedomaʒe"	"dédommager"
"dédoublé"	"deduble"	"dédoubler"
"dédui"	"dedɥi"	"dédommager"
"défaché"	"defaʃe"	"défâcher"
"défalké"	"defalke"	"défalquer"
"défann"	"defɑ̃n"	"défendre"
"défèt"	"defεt"	"faire >défaire"
"déféyé"	"defeje"	"défeuiller"
"défigiré"	"defigiʀe"	"figure > défigurer"
"défilé"	"defile"	"file > défiler"
"défofilé"	"defofile"	"faufiler > défaufiler"
"défonsé"	"defɔ̃se"	"défoncer"
"défòrmé"	"defɔʀme"	"déformer"
"défriché"	"defʀiʃe"	"défricher"
"défrizé"	"defʀize"	"friser > défriser"
"dégajé"	"degaʒe"	"dégager"
"dégaré"	"degaʀe"	"garer"
"dégarni"	"degaʀni"	"dégarnir"
"dégizé"	"degize"	"déguiser"
"dégochi"	"degoʃi"	"dégauchir"
"dégòjé"	"degɔʒe"	"dégorger"
"dégonflé"	"degɔ̃fle"	"gonfler > dégonfler"
"dégoudi"	"degudi"	"dégourdir"
"dégouté"	"degute"	"dégoutter"
"dégouté 2"	"degute"	"dégoûter"
"dégouté 3"	"degute"	"dégoûter"
"dégrafé"	"degʀafe"	"dégrafer"
"dégrapé"	"degʀape"	"dégrapper = égrapper"
"dégrengolé"	"degʀɛ̃gole"	"dégringoler"
"dégrenné"	"degʀɛ̃ne"	"xxx"
"dégrésé"	"degʀese"	"graisse"
"dégriji"	"degʀiʒi"	"xxx"
"déjanbé"	"deʒɑ̃be"	"jambe"
"déjiné"	"deʒine"	"déjeuner"
"déjivré"	"deʒivʀe"	"givrer > dégivrer"
"déjouké"	"deʒuke"	"joug"
"dékabosé"	"dekabose"	"cabosser > décabosser (LAR.."
"dékachté"	"dekaʃte"	"cacheter > décacheter"
"dékalboré"	"dekalboʀe"	"xxx"
"dékalé"	"dekale"	"xxx"
"dékalé 2"	"dekale"	"écale > écaler"
"dékalé 3"	"dekale"	"xxx"
"dékalfouké"	"dekalfuke"	"xxx"
"dékalké"	"dekalke"	"calquer >décalquer"
"dékanpé"	"dekɑ̃pe"	"camper > décamper"
"dékanté"	"dekɑ̃te"	"xxx"
"dékanté 2"	"dekɑ̃te"	"xxx"
"dékanté 3"	"dekɑ̃te"	"décanter"
"dékarkasé"	"dekaʀkase"	"carcasse > décarcasser"
"dékatyé"	"dekatje"	"quartier"
"dékazé"	"dekaze"	"case"
"déklaré"	"deklaʀe"	"déclarer"
"déklouwé"	"delkuwe"	"clouer > déclouer"
"dékochi"	"dekoʃi"	"xxx"
"dékòchté"	"dekɔʃte"	"crocheter"
"dékofré"	"dekofʀe"	"coffrer > décoffrer"
"dékolé"	"dekole"	"coller > décoller"
"dékolé 2"	"dekole"	"décoller"
"dékolé 3"	"dekole"	"décoller"
"dékonmandé"	"dekɔ̃mɑ̃de"	"commander > décommander"
"dékonséyé"	"dekɔ̃seje"	"conseiller > déconseiller"
"dékontrolé"	"dekɔ̃tʀole"	"contrôler"
"dékoré"	"dekoʀe"	"décorer"
"dékoré 2"	"dekoʀe"	"décorer"
"dékouché"	"dekuʃe"	"coucher > découcher"
"dékoud"	"dekud"	"coudre > découdre"
"dékoud 2"	"dekud"	"coudre > découdre"
"dékoupé"	"dekupe"	"couper >découper"
"dékoupé 2"	"dekupe"	"couper > découper"
"dékourajé"	"dekuʀaʒe"	"décourager"
"dékouvè"	"dékuvε"	"découvrir"
"dékòviyé"	"dekɔvije"	"xxx"
"dékrasé"	"dekʀase"	"crasse > décrasser"
"dékravaté"	"dekʀavate"	"cravater > décravater (LITTRE)"
"dékrété"	"dekʀete"	"décréter"
"dékwazé"	"dekwaze"	"croiser >décroiser"
"dékwenné"	"dekwɛ̃ne"	"couenne"
"dékwenné 2"	"dekwɛ̃ne"	"couenne"
"dékwensé"	"dekwɛ̃nse"	"coincer > décoincer"
"délaké"	"delake"	"xxx"
"délasi"	"delasi"	"délasser"
"délégé"	"delege"	"déléguer"
"déléyé"	"deleje"	"délayer"
"délibéré"	"delibeʀe"	"délibérer"
"délibéré 2"	"delibeʀe"	"délibérer"
"déligné"	"deliɲe"	"ligne"
"délimité"	"delimite"	"délimiter"
"délojé"	"deloʒe"	"déloger"
"délyanné"	"deljɑ̃ne"	"xxx"
"délyé"	"delje"	"délier"
"démaké"	"demake"	"marquer > démarquer"
"démanché"	"demɑ̃ʃe"	"démancher"
"démanjé"	"demɑ̃ʒe"	"démanger"
"démanti"	"demɑ̃ti"	"mentir > démentir"
"démantibilé"	"demɑ̃tibile"	"démantibuler"
"démantlé"	"demɑ̃tle"	"démanteler"
"démaré"	"demaʀe"	"demarrer"
"démasyé"	"demasje"	"démasquer"
"dématé"	"demate"	"démâter"
"démayé"	"demaje"	"xxx"
"démayoté"	"demajote"	"maillot > démaillotter"
"démélé"	"demele"	"démêler"
"déménajé"	"demenaʒe"	"déménager"
"démèrdé"	"demεʀde"	"merde > démerder"
"démérité"	"demeʀite"	"mériter > démériter"
"démèt"	"demεt"	"mettre > démettre"
"démisyonné"	"demisjɔ̃ne"	"démissionner"
"démobilizé"	"demobilize"	"mobiliser > démobiliser"
"démòd"	"demɔd"	"mordre > démordre"
"démonté"	"demɔ̃tʀe"	"monter > démonter"
"démontré"	"demɔ̃te"	"montrer > démontrer"
"démoralizé"	"demoʀalize"	"démoraliser"
"démoulé"	"demule"	"mouler > démouler"
"dénaté"	"denate"	"natter > dénatter"
"déniché"	"deniʃe"	"dénicher"
"dénigré"	"denigʀe"	"dénigrer"
"dénonsé"	"denɔ̃se"	"dénoncer"
"dépalé"	"depale"	"parler > déparler"
"dépalé 2"	"depale"	"parler > déparler"
"dépalé 3"	"depale"	"parler > déparler"
"dépann"	"depɑ̃n"	"pendre > dépendre"
"dépann 2"	"depɑ̃n"	"pendre > dépendre"
"dépann 3"	"depɑ̃n"	"pendre > dépendre"
"dépanné"	"depɑ̃né"	"panne > dépanner"
"dépansé"	"depɑ̃se"	"dépense > dépenser"
"départajé"	"depaʀtaʒe"	"partager"
"dépasé"	"depase"	"dépasser"
"dépaté"	"depate"	"xxx"
"dépayé"	"depaje"	"parier"
"dépayé 2"	"depaje"	"paille > dépailler"
"dépéché"	"depeʃe"	"dépêcher"
"dépengné"	"depɛ̃ɲe"	"peigner > dépeigner"
"dépéri"	"depeʀi"	"dépérir"
"dépéyizé"	"depejize"	"pays > dépayser"
"déplasé"	"deplase"	"placer > déplacer"
"déplimé cf plimé"	"deplime"	"plumer > déplumer"
"dépliyé"	"deplije"	"déplier"
"déplotonné"	"deplotɔ̃ne"	"dépelotonner"
"dépouyé"	"depuje"	"dépouiller"
"dépozé"	"depoze"	"déposer"
"dépri"	"depʀi"	"prendre"
"dépwélé"	"depwele"	"poil"
"dépyété"	"depjete"	"xxx"
"déraciné"	"deʀasine"	"déraciner"
"déranger 2"	"deʀɑ̃ʒe"	"déranger"
"déranjé"	"deʀɑ̃ʒe"	"ranger > déranger"
"déranpli"	"deʀɑ̃pli"	"remplir"
"dérapé"	"deʀape"	"déraper"
"dérasiné"	"deʀasine"	"racine > déraciner"
"dérayé"	"deʀaje"	"rail > dérailler"
"dérédi"	"deʀedi"	"déraidir"
"déréglé"	"deʀegle"	"régler > dérégler"
"dérèspèkté"	"deʀεspekte"	"respecter"
"dérèspèkté 2"	"deʀεspekte"	"respecter"
"dérifizé cf rèfizé"	"deʀifize"	"refuser"
"désalé"	"desale"	"saler > dessaler"
"désann"	"desɑ̃n"	"descendre"
"déséré"	"deseʀe"	"desserrer"
"désèvi"	"desεvi"	"servir > desservir"
"désèvwa"	"desεvwa"	"decevoir"
"désidé"	"deside"	"décider"
"désiné"	"desine"	"dessiner"
"désòti cf sòti"	"desɔti"	"sortir"
"désoulé"	"desule"	"soûler > dessoûler"
"détablé"	"detable"	"table"
"détaché"	"detaʃe"	"tache >détacher"
"détaché 2"	"detaʃe"	"détacher"
"détann"	"detɑ̃n"	"détendre"
"détann 2"	"detɑ̃n"	"tendre > détendre"
"détayé"	"detaje"	"tailler > détailler"
"détenn"	"detɛ̃n"	"déteindre"
"détéré"	"deteʀe"	"terre > deterrer"
"détiké"	"detike"	"tique"
"détiré"	"detiʀe"	"tirer > détirer"
"détlé"	"detle"	"dételer"
"détòd"	"detɔd"	"tordre > détordre"
"détòtiyé"	"detɔtije"	"détortiller"
"détranpé"	"detʀɑ̃pe"	"tremper > détremper"
"détronpé"	"detʀɔ̃pe"	"détromper"
"détui"	"detɥi"	"detruire"
"dévalé"	"devale"	"dévaler"
"dévalizé"	"devalize"	"dévaliser"
"dèvansé"	"dɛvɑ̃se"	"devancer"
"dévasté"	"dévaste"	"dévaster"
"dévidé"	"devide"	"vider > dévider"
"dèviné"	"dεvine"	"deviner"
"déviré"	"deviʀe"	"dévirer tourner en sens inverse)"
"dévisé"	"devise"	"visser > dévisser"
"dévoré"	"devoʀe"	"dévorer"
"dévwè"	"devwε"	"xxx"
"dévyé"	"devwe"	"dévier"
"déwoché"	"dewoʃe"	"xxx"
"déwoulé"	"dewule"	"dérouler"
"dézabityé"	"dezabitje"	"habituer > déshabituer"
"dézabiyé"	"dezabije"	"habiller > déshabiller"
"dézakòrdé"	"dezakɔʀde"	"accorder > désaccorder"
"dézanbaglé"	"dezɑ̃bagle"	"xxx"
"dézanbalé"	"dezɑ̃bale"	"emballer > désemballer"
"dézanbwaté"	"dezɑ̃bwate"	"désemboîter"
"dézanjanbé"	"dezɑ̃ʒɑ̃be"	"enjamber"
"dézankastré"	"dezɑ̃kastʀe"	"encastrer > désencastrer"
